NODTA,208 216 217,#D0D8D9
CURSR,235 125 54,#EB7D36
CHBLK,7 7 7,#070707
CHGRD,125 137 140,#7D898C
CHGRF,163 180 183,#A3B4B7
CHRED,241 84 105,#F15469
CHGRN,104 228 86,#68E456
CHYLW,244 218 72,#F4DA48
CHMGD,197 69 195,#C545C3
CHMGF,211 166 233,#D3A6E9
CHBRN,215 187 114,#D7BB72
CHWHT,212 234 238,#D4EAEE
SCLBR,235 125 54,#EB7D36
CHCOR,235 125 54,#EB7D36
LITRD,250 80 80,#FA5050
LITGN,104 228 86,#68E456
LITYW,244 218 72,#F4DA48
ISDNG,197 69 195,#C545C3
DNGHL,241 84 105,#F15469
TRFCD,197 69 195,#C545C3
TRFCF,211 166 233,#D3A6E9
LANDA,250 241 163,#FAF1A3
LANDF,215 187 114,#D7BB72
CSTLN,82 90 92,#525A5C
SNDG1,125 137 140,#7D898C
SNDG2,7 7 7,#070707
DEPSC,82 90 92,#525A5C
DEPCN,125 137 140,#7D898C
DEPDW,250 250 250,#FAFAFA
DEPMD,235 243 255,#EBF3FF
DEPMS,199 225 255,#C7E1FF
DEPVS,158 198 253,#9EC6FD
DEPIT,131 178 149,#83B295
RADHI,104 228 86,#68E456
RADLO,63 138 52,#3F8A34
ARPAT,63 165 111,#3FA56F
NINFO,235 125 54,#EB7D36
RESBL,58 120 240,#3A78F0
ADINF,178 159 52,#B29F34
RESGR,125 137 140,#7D898C
SHIPS,7 7 7,#070707
PSTRK,7 7 7,#070707
SYTRK,125 137 140,#7D898C
PLRTE,220 64 37,#DC4025
APLRT,235 125 54,#EB7D36
UINFD,7 7 7,#070707
UINFF,125 137 140,#7D898C
UIBCK,212 234 238,#D4EAEE
UIAFD,115 182 239,#73B6EF
UINFR,241 84 105,#F15469
UINFG,104 228 86,#68E456
UINFO,235 125 54,#EB7D36
UINFB,58 120 240,#3A78F0
UINFM,197 69 195,#C545C3
UIBDR,125 137 140,#7D898C
UIAFF,201 185 122,#C9B97A
OUTLW,7 7 7,#070707
OUTLL,201 185 122,#C9B97A
RES01,163 180 183,#A3B4B7
RES02,163 180 183,#A3B4B7
RES03,163 180 183,#A3B4B7
BKAJ1,7 7 7,#070707
BKAJ2,35 39 40,#232728
