NODTA,139 153 155,#8B999B
CURSR,199 107 46,#C76B2E
CHBLK,7 7 7,#070707
CHGRD,106 117 119,#6A7577
CHGRF,139 153 155,#8B999B
CHRED,205 71 89,#CD4759
CHGRN,89 194 73,#59C249
CHYLW,208 186 61,#D0BA3D
CHMGD,168 59 166,#A83BA6
CHMGF,180 141 198,#B48DC6
CHBRN,150 123 48,#967B30
CHWHT,180 199 202,#B4C7CA
SCLBR,199 107 46,#C76B2E
CHCOR,199 107 46,#C76B2E
LITRD,205 71 89,#CD4759
LITGN,89 194 73,#59C249
LITYW,208 186 61,#D0BA3D
ISDNG,168 59 166,#A83BA6
DNGHL,205 71 89,#CD4759
TRFCD,168 59 166,#A83BA6
TRFCF,180 141 198,#B48DC6
LANDA,171 157 104,#AB9D68
LANDF,118 87 26,#76571A
CSTLN,70 77 78,#464D4E
SNDG1,106 117 119,#6A7577
SNDG2,7 7 7,#070707
DEPSC,70 77 78,#464D4E
DEPCN,106 117 119,#6A7577
DEPDW,180 199 202,#B4C7CA
DEPMD,158 181 192,#9EB5C0
DEPMS,129 168 206,#81A8CE
DEPVS,98 154 203,#629ACB
DEPIT,111 151 127,#6F977F
RADHI,89 194 73,#59C249
RADLO,54 117 44,#36752C
ARPAT,54 140 94,#368C5E
NINFO,199 107 46,#C76B2E
RESBL,49 102 204,#3166CC
ADINF,151 135 44,#97872C
RESGR,106 117 119,#6A7577
SHIPS,7 7 7,#070707
PSTRK,7 7 7,#070707
SYTRK,106 117 119,#6A7577
PLRTE,220 64 37,#DC4025
APLRT,199 107 46,#C76B2E
UINFD,7 7 7,#070707
UINFF,106 117 119,#6A7577
UIBCK,180 199 202,#B4C7CA
UIAFD,98 154 203,#629ACB
UINFR,205 71 89,#CD4759
UINFG,89 194 73,#59C249
UINFO,199 107 46,#C76B2E
UINFB,49 102 204,#3166CC
UINFM,168 59 166,#A83BA6
UIBDR,106 117 119,#6A7577
UIAFF,171 157 104,#AB9D68
OUTLW,7 7 7,#070707
OUTLL,171 157 104,#AB9D68
RES01,139 153 155,#8B999B
RES02,139 153 155,#8B999B
RES03,139 153 155,#8B999B
BKAJ1,7 7 7,#070707
BKAJ2,30 33 34,#1E2122
