NODTA,125 137 140,#7D898C
CURSR,221 118 51,#DD7633
CHBLK,163 180 183,#A3B4B7
CHGRD,163 180 183,#A3B4B7
CHGRF,125 137 140,#7D898C
CHRED,241 84 105,#F15469
CHGRN,104 228 86,#68E456
CHYLW,244 218 72,#F4DA48
CHMGD,221 173 244,#DDADF4
CHMGF,173 61 171,#AD3DAB
CHBRN,163 133 52,#A38534
CHWHT,212 234 238,#D4EAEE
SCLBR,221 118 51,#DD7633
CHCOR,221 118 51,#DD7633
LITRD,241 84 105,#F15469
LITGN,104 228 86,#68E456
LITYW,244 218 72,#F4DA48
ISDNG,221 173 244,#DDADF4
DNGHL,241 84 105,#F15469
TRFCD,221 173 244,#DDADF4
TRFCF,173 61 171,#AD3DAB
LANDA,134 123 81,#867B51
LANDF,229 168 51,#E5A833
CSTLN,163 180 183,#A3B4B7
SNDG1,125 137 140,#7D898C
SNDG2,212 234 238,#D4EAEE
DEPSC,163 180 183,#A3B4B7
DEPCN,125 137 140,#7D898C
DEPDW,7 7 7,#070707
DEPMD,38 43 46,#262B2E
DEPMS,63 82 101,#3F5265
DEPVS,67 107 140,#436B8C
DEPIT,65 113 95,#41715F
RADHI,104 228 86,#68E456
RADLO,63 138 52,#3F8A34
ARPAT,80 208 140,#50D08C
NINFO,221 118 51,#DD7633
RESBL,58 120 240,#3A78F0
ADINF,178 159 52,#B29F34
RESGR,125 137 140,#7D898C
SHIPS,212 234 238,#D4EAEE
PSTRK,212 234 238,#D4EAEE
SYTRK,125 137 140,#7D898C
PLRTE,220 64 37,#DC4025
APLRT,221 118 51,#DD7633
UINFD,212 234 238,#D4EAEE
UINFF,125 137 140,#7D898C
UIBCK,7 7 7,#070707
UIAFD,67 107 140,#436B8C
UINFR,241 84 105,#F15469
UINFG,104 228 86,#68E456
UINFO,221 118 51,#DD7633
UINFB,58 120 240,#3A78F0
UINFM,173 61 171,#AD3DAB
UIBDR,163 180 183,#A3B4B7
UIAFF,134 123 81,#867B51
OUTLW,7 7 7,#070707
OUTLL,134 123 81,#867B51
RES01,125 137 140,#7D898C
RES02,125 137 140,#7D898C
RES03,125 137 140,#7D898C
BKAJ1,7 7 7,#070707
BKAJ2,35 39 40,#232728
