NODTA,41 46 46,#292E2E
CURSR,75 38 19,#4B2613
CHBLK,54 60 61,#363C3D
CHGRD,54 60 61,#363C3D
CHGRF,41 46 46,#292E2E
CHRED,80 28 35,#501C23
CHGRN,35 76 29,#234C1D
CHYLW,81 73 24,#514918
CHMGD,74 58 81,#4A3A51
CHMGF,58 20 57,#3A1439
CHBRN,54 44 17,#362C11
CHWHT,71 78 79,#474E4F
SCLBR,75 38 19,#4B2613
CHCOR,75 38 19,#4B2613
LITRD,80 28 35,#501C23
LITGN,35 76 29,#234C1D
LITYW,81 73 24,#514918
ISDNG,74 58 81,#4A3A51
DNGHL,80 28 35,#501C23
TRFCD,74 58 81,#4A3A51
TRFCF,58 20 57,#3A1439
LANDA,44 41 27,#2C291B
LANDF,76 56 17,#4C3811
CSTLN,54 60 61,#363C3D
SNDG1,41 46 46,#292E2E
SNDG2,71 78 79,#474E4F
DEPSC,54 60 61,#363C3D
DEPCN,41 46 46,#292E2E
DEPDW,7 7 7,#070707
DEPMD,12 14 15,#0C0E0F
DEPMS,21 27 33,#151B21
DEPVS,22 35 47,#16232F
DEPIT,21 37 31,#15251F
RADHI,35 76 29,#234C1D
RADLO,21 46 17,#152E11
ARPAT,26 69 47,#1A452F
NINFO,75 38 19,#4B2613
RESBL,19 40 80,#132850
ADINF,59 53 17,#3B3511
RESGR,41 46 46,#292E2E
SHIPS,71 78 79,#474E4F
PSTRK,71 78 79,#474E4F
SYTRK,41 46 46,#292E2E
PLRTE,73 21 12,#49150C
APLRT,75 38 19,#4B2613
UINFD,71 78 79,#474E4F
UINFF,41 46 46,#292E2E
UIBCK,7 7 7,#070707
UIAFD,22 35 47,#16232F
UINFR,80 28 35,#501C23
UINFG,35 76 29,#234C1D
UINFO,75 38 19,#4B2613
UINFB,19 40 80,#132850
UINFM,58 20 57,#3A1439
UIBDR,54 60 61,#363C3D
UIAFF,44 41 27,#2C291B
OUTLW,7 7 7,#070707
OUTLL,44 41 27,#2C291B
RES01,41 46 46,#292E2E
RES02,41 46 46,#292E2E
RES03,41 46 46,#292E2E
BKAJ1,7 7 7,#070707
BKAJ2,11 13 13,#0B0D0D
